,city,cloud (%),country,date,humidity (%),lat,lng,max temp (F),wind (mph)
293,Umluj,63,SA,1652046872,41,25.0213,37.2685,27.04,3.38
294,Togitsu,0,JP,1652046872,77,32.8333,129.85,16.99,4.63
295,Belmonte,95,BR,1652046873,85,-15.8631,-38.8828,24.02,4.07
296,Lompoc,0,US,1652046873,59,34.6391,-120.4579,21.98,14.75
297,Alvarães,75,BR,1652046873,95,-3.2208,-64.8042,32.93,1.09
298,Sisimiut,0,GL,1652046874,65,66.9395,-53.6735,1.24,5.11
299,Deep River,0,CA,1652046874,32,46.1001,-77.4995,19.41,3.16
300,Saskylakh,95,RU,1652046875,94,71.9167,114.0833,-12.46,6.11
301,Passagem Franca,93,BR,1652046875,72,-6.1797,-43.7836,24.73,0.96
302,Upata,95,VE,1652046875,91,8.0086,-62.3989,22.33,2.3
303,Port Moresby,20,PG,1652046655,100,-9.4431,147.1797,24.68,1.54
304,High Prairie,100,CA,1652046426,91,55.4334,-116.4858,2.57,7.16
305,Saint-Leu,0,RE,1652046876,73,-21.15,55.2833,21.84,1.61
306,Kashima,66,JP,1652046876,75,33.1061,130.0906,18.22,2.59
307,Faanui,0,PF,1652046877,75,-16.4833,-151.75,27.84,5.64
308,Atar,83,MR,1652046877,16,20.5169,-13.0499,34.7,4.89
309,Juneau,31,US,1652046809,100,58.3019,-134.4197,12.28,2.84
310,Longyearbyen,40,SJ,1652046878,57,78.2186,15.6401,-9.09,8.75
311,Houston,0,US,1652046133,61,29.7633,-95.3633,35.23,5.66
312,Ostrovnoy,29,RU,1652046878,79,68.0531,39.5131,-3.2,3.57
313,Coolum Beach,100,AU,1652046879,99,-26.5333,153.1,19.08,6.9
314,São João da Barra,11,BR,1652046721,78,-21.6403,-41.0511,23.05,5.73
315,Menongue,68,AO,1652046879,62,-14.6585,17.691,18.95,0.89
316,Zverinogolovskoye,40,RU,1652046880,31,54.4586,64.8542,9.96,1.85
317,North Platte,19,US,1652046880,36,41.1239,-100.7654,26.18,3.58
318,Hasaki,100,JP,1652046639,54,35.7333,140.8333,16.22,5.24
319,Toora-Khem,48,RU,1652046881,80,52.4675,96.11,-3.85,1.54
320,At-Bashi,0,KG,1652046881,40,41.1702,75.8106,13.55,2.32
321,Lola,100,GN,1652046881,98,7.8,-8.5333,22.34,1.51
322,Hirado,42,JP,1652046882,69,33.3597,129.5531,17.44,10.19
323,Youghal,99,IE,1652046882,100,51.95,-7.8506,12.27,5.63
324,Cabedelo,99,BR,1652046883,78,-6.9811,-34.8339,26.37,6.21
325,Beloha,33,MG,1652046883,80,-25.1667,45.05,21.7,0.56
326,Madimba,58,TZ,1652046883,90,-10.4,40.3333,23.52,3.65
327,Rolla,39,US,1652046884,67,37.9514,-91.7713,25.4,6.48
328,Brae,100,GB,1652046884,88,60.3964,-1.353,8.51,7.94
329,Turdaş,95,RO,1652046885,70,45.85,23.1167,12.14,0.9
330,Carlsbad,100,US,1652046885,67,33.1581,-117.3506,22.48,6.69
331,Grindavik,100,IS,1652046885,93,63.8424,-22.4338,9.97,8.75
332,Abilene,0,US,1652046647,11,32.4487,-99.7331,41.16,8.23
333,Anloga,42,GH,1652046886,81,5.7947,0.8973,28.31,6.37
334,Barranquilla,20,CO,1652046697,70,10.9639,-74.7964,30.88,4.63
335,Concepción del Oro,6,MX,1652046886,7,24.6333,-101.4167,30.76,4.79
336,Beisfjord,100,NO,1652046887,98,68.3751,17.5988,2.8,2.15
337,Kokopo,91,PG,1652046887,75,-4.352,152.2633,27.38,0.46
338,Tawao,100,MY,1652046888,94,4.2498,117.8871,26.07,2.88
339,Katherine,2,AU,1652046888,42,-14.4667,132.2667,20.18,3.6
340,Pilot Butte,75,CA,1652046888,34,50.4668,-104.4178,17.79,4.63
341,Nuuk,51,GL,1652046889,86,64.1835,-51.7216,0.49,5.81
342,Matagami,0,CA,1652046889,14,49.7502,-77.6328,20.06,5.66
343,Malino,20,PH,1652046890,73,15.1257,120.6727,26.68,1.03
344,College,75,US,1652046679,58,64.8569,-147.8028,7.38,5.66
345,Zelenoborskiy,89,RU,1652046890,90,66.845,32.3622,-1.7,1.77
346,Brownfield,0,US,1652046891,4,33.1812,-102.2744,37.19,10.54
347,Fairbanks,100,US,1652046891,57,64.8378,-147.7164,7.39,5.66
348,Winslow,0,US,1652046891,6,35.0242,-110.6974,28.1,14.92
349,Mastic Beach,100,US,1652046892,46,40.7668,-72.8521,13.32,5.81
350,Mariana,38,BR,1652046892,94,-20.3778,-43.4161,16.18,0.88
351,Fatehābād,0,IN,1652046893,17,29.5167,75.45,31.18,4.14
352,Perry Hall,100,US,1652046893,68,39.4126,-76.4636,12.56,4.02
